指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,04-2019,59404.00000
进口金额（美元）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,05-2019,
进口金额（美元）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,11-2020,
进口金额（美元）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,12-2020,
进口金额（美元）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,02-2023,
进口金额（美元）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,04-2019,
进口金额（美元）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,05-2019,115345.00000
进口金额（美元）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,11-2020,100000.00000
进口金额（美元）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,12-2020,100000.00000
进口金额（美元）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,02-2023,300000.00000
进出口金额（美元）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,04-2019,59404.00000
进出口金额（美元）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,05-2019,
进出口金额（美元）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,11-2020,
进出口金额（美元）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,12-2020,
进出口金额（美元）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,02-2023,
进出口金额（美元）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,04-2019,
进出口金额（美元）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,05-2019,115345.00000
进出口金额（美元）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,11-2020,100000.00000
进出口金额（美元）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,12-2020,100000.00000
进出口金额（美元）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,02-2023,300000.00000
进口数量（第一数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,04-2019,5.00000
进口数量（第一数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,05-2019,
进口数量（第一数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,11-2020,
进口数量（第一数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,12-2020,
进口数量（第一数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,02-2023,
进口数量（第一数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,04-2019,
进口数量（第一数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,05-2019,100.00000
进口数量（第一数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,11-2020,114.00000
进口数量（第一数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,12-2020,125.00000
进口数量（第一数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,02-2023,330.00000
进出口数量（第一数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,04-2019,5.00000
进出口数量（第一数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,05-2019,
进出口数量（第一数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,11-2020,
进出口数量（第一数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,12-2020,
进出口数量（第一数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,02-2023,
进出口数量（第一数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,04-2019,
进出口数量（第一数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,05-2019,100.00000
进出口数量（第一数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,11-2020,114.00000
进出口数量（第一数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,12-2020,125.00000
进出口数量（第一数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,02-2023,330.00000
进口数量（第二数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,04-2019,1.00000
进口数量（第二数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,05-2019,
进口数量（第二数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,11-2020,
进口数量（第二数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,12-2020,
进口数量（第二数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,02-2023,
进口数量（第二数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,04-2019,
进口数量（第二数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,05-2019,1.00000
进口数量（第二数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,11-2020,1.00000
进口数量（第二数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,12-2020,1.00000
进口数量（第二数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,02-2023,3.00000
进出口数量（第二数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,04-2019,1.00000
进出口数量（第二数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,05-2019,
进出口数量（第二数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,11-2020,
进出口数量（第二数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,12-2020,
进出口数量（第二数量）,合计,本期值,中国大陆,010611 - 灵长目动物,合计,02-2023,
进出口数量（第二数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,04-2019,
进出口数量（第二数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,05-2019,1.00000
进出口数量（第二数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,11-2020,1.00000
进出口数量（第二数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,12-2020,1.00000
进出口数量（第二数量）,合计,本期值,中国大陆,010619 - 其他哺乳动物,合计,02-2023,3.00000
数据来源：中国海关
由EPS DATA整理
