指标,地区,分类,国家,商品,贸易方式,时间,数值
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,01-2019,61806293.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,02-2019,10745918.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,03-2019,34873075.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,04-2019,37232130.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,05-2019,57328165.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,06-2019,38005484.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,07-2019,36762096.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,08-2019,47195645.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,09-2019,34080600.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,10-2019,60611126.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,11-2019,38258720.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,12-2019,40785644.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,01-2020,59840808.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,02-2020,20660311.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,03-2020,49807011.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,04-2020,33359133.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,05-2020,87737779.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,06-2020,33455402.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,07-2020,55185455.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,08-2020,49231073.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,09-2020,72293773.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,10-2020,60375357.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,11-2020,54734347.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,12-2020,58093177.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,01-2021,117589422.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,02-2021,64251191.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,03-2021,52704461.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,04-2021,89882804.00000
进口金额（美元）,合计,本期值,合计,01 - 活动物,合计,05-2021,95184366.00000
